VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
3C3CFFGE4E,Yakima,Yakima,WA,98902,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,POINT (-120.524012 46.5973939),-120.524012,46.5973939
5YJXCBE40H,Thurston,Olympia,WA,98513,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-122.817545 46.98876),-122.817545,46.98876
3MW39FS03P,King,Renton,WA,98058,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
7PDSGABA8P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1873 47.820245),-122.1873,47.820245
5YJ3E1EB8L,King,Kent,WA,98031,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,POINT (-122.2012521 47.3931814),-122.2012521,47.3931814
5UX43EU02R,Kitsap,Poulsbo,WA,98370,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,POINT (-122.64177 47.737525),-122.64177,47.737525
2C4RC1H7XJ,Kitsap,Port Orchard,WA,98367,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,POINT (-122.6847073 47.50524),-122.6847073,47.50524
1G1FX6S01H,Kitsap,Poulsbo,WA,98370,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,POINT (-122.64177 47.737525),-122.64177,47.737525
5YJ3E1EA2J,Kitsap,Port Orchard,WA,98366,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,POINT (-122.639265 47.5373),-122.639265,47.5373
WBY7Z6C59J,King,Duvall,WA,98019,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,POINT (-121.9810747 47.7377962),-121.9810747,47.7377962
7SAYGDEE9P,Thurston,Olympia,WA,98502,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.92145 47.045935),-122.92145,47.045935
KNDCE3LGXK,King,Bellevue,WA,98006,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,POINT (-122.16937 47.571015),-122.16937,47.571015
5YJYGDEE1L,King,Seattle,WA,98112,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,POINT (-122.30764 47.62523),-122.30764,47.62523
3FA6P0SU9L,Kitsap,Bremerton,WA,98310,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,POINT (-122.611365 47.575195),-122.611365,47.575195
WBY1Z2C53G,King,Seattle,WA,98119,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,POINT (-122.363815 47.63046),-122.363815,47.63046
5UX43EU02R,King,Seattle,WA,98105,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,POINT (-122.319115 47.66132),-122.319115,47.66132
JTDKARFP7H,Kitsap,Poulsbo,WA,98370,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.64177 47.737525),-122.64177,47.737525
5YJXCBE26G,Yakima,Selah,WA,98942,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-120.54188 46.654175),-120.54188,46.654175
5YJ3E1EB0L,King,Seattle,WA,98119,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,POINT (-122.363815 47.63046),-122.363815,47.63046
1G1RA6S51J,Kitsap,Poulsbo,WA,98370,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,POINT (-122.64177 47.737525),-122.64177,47.737525
1N4AZ0CP0D,Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,POINT (-122.64177 47.737525),-122.64177,47.737525
7FCTGAAL7N,Kitsap,Silverdale,WA,98383,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.668076 47.665978),-122.668076,47.665978
5YJ3E1EAXK,King,Seattle,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,POINT (-122.30823 47.581975),-122.30823,47.581975
